VM;Powerstate;CPUs;Memory;Primary_IP_Address;Network_1;Cluster;Datacenter;Host;OS_VMwareTools;OS_ConfigFile;GeneratedUniqueID
BEUPTL-2;poweredOn;1;4096;10.70.5.61;VLAN-10.70.5.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.5.61","BEUPTL-2"]
BEUQUEUE-1;poweredOn;2;8192;10.70.2.51;VLAN-10.70.2.x;CL_BEU;BEU;rz2-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.2.51","BEUQUEUE-1"]
BEUQUEUE-2;poweredOn;2;8192;10.70.2.52;VLAN-10.70.2.x;CL_BEU;BEU;rz1-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.2.52","BEUQUEUE-2"]
BEUQUEUE-3;poweredOn;2;8192;10.70.2.53;VLAN-10.70.2.x;CL_BEU;BEU;rz1-esx-41.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.2.53","BEUQUEUE-3"]
BEUREVDB-01;poweredOn;4;16384;10.70.5.80;VLAN-10.70.5.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.5.80","BEUREVDB-01"]
BEUSENTRY-1;poweredOn;2;6144;10.70.10.11;VLAN-10.70.10.x;CL_BEU;BEU;rz2-esx-41.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.70.10.11","BEUSENTRY-1"]
BPU-KUBCP-01;poweredOn;4;8192;10.2.3.160;VLAN-10.2.3.x;CL_PU;PU;rz2-esx-33.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.3.160","BPU-KUBCP-01"]
BPU-KUBDB-01;poweredOn;2;8192;10.2.3.165;VLAN-10.2.3.x;CL_PU;PU;rz2-esx-33.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.3.165","BPU-KUBDB-01"]
BPU-KUBWN-01;poweredOn;2;8192;10.2.3.161;VLAN-10.2.3.x;CL_PU;PU;rz2-esx-50.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.3.161","BPU-KUBWN-01"]
BPU-KUBWN-02;poweredOn;2;8192;10.2.3.162;VLAN-10.2.3.x;CL_PU;PU;rz2-esx-33.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.3.162","BPU-KUBWN-02"]
BPU-KUBWN-03;poweredOn;2;8192;10.2.3.163;VLAN-10.2.3.x;CL_PU;PU;rz2-esx-34.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.3.163","BPU-KUBWN-03"]
BPU-KUBWN-04;poweredOn;2;8192;10.2.3.164;VLAN-10.2.3.x;CL_PU;PU;rz1-esx-32.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.3.164","BPU-KUBWN-04"]
BPUEXT-KUBCP-01;poweredOn;2;8192;10.1.52.61;VLAN-10.1.52.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.52.61","BPUEXT-KUBCP-01"]
BPUEXT-KUBCP-02;poweredOn;2;8192;10.1.52.62;VLAN-10.1.52.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.52.62","BPUEXT-KUBCP-02"]
BPUEXT-KUBCP-03;poweredOn;2;8192;10.1.52.63;VLAN-10.1.52.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.52.63","BPUEXT-KUBCP-03"]
BPUINAPP-01;poweredOn;4;16384;10.2.6.115;VLAN-10.2.6.x;CL_PU;PU;rz1-esx-31.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.6.115","BPUINAPP-01"]
BPUINDB-01;poweredOn;4;16384;10.2.6.116;VLAN-10.2.6.x;CL_PU;PU;rz1-esx-52.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.6.116","BPUINDB-01"]
BPUINT-KUBCP-01;poweredOn;2;8192;10.1.52.11;VLAN-10.1.52.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.52.11","BPUINT-KUBCP-01"]
BTU-KUBCP-01;poweredOn;4;8192;10.75.1.161;VLAN-10.75.1.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.161","BTU-KUBCP-01"]
BTU-KUBDB-01;poweredOn;2;8192;10.75.1.165;VLAN-10.75.1.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.165","BTU-KUBDB-01"]
BTU-KUBLOG-01;poweredOn;4;8192;10.75.1.163;VLAN-10.75.1.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.163","BTU-KUBLOG-01"]
BTU-KUBWN-01;poweredOn;2;8192;10.75.1.162;VLAN-10.75.1.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.162","BTU-KUBWN-01"]
BTU-KUBWN-02;poweredOn;2;4096;10.75.1.164;VLAN-10.75.1.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.164","BTU-KUBWN-02"]
BTUAFS-01;poweredOn;1;6144;10.6.6.11;VLAN-10.6.6.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.6.11","BTUAFS-01"]
BTUAST-01;poweredOn;1;4096;10.6.6.12;VLAN-10.6.6.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.6.12","BTUAST-01"]
BTUDBDE-01;poweredOn;2;4096;10.75.2.37;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.37","BTUDBDE-01"]
BTUDC-01;poweredOn;4;8192;10.75.2.81;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.75.2.81","BTUDC-01"]
BTUDCCDB-01;poweredOn;2;8192;10.75.2.39;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.39","BTUDCCDB-01"]
BTUESPPRO-01;poweredOn;2;16384;10.75.1.152;VLAN-10.75.1.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.75.1.152","BTUESPPRO-01"]
BTUESPVEI-01;poweredOn;2;20480;10.75.1.153;VLAN-10.75.1.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;CentOS 8 (64-bit);CentOS 4/5 (64-bit);["10.75.1.153","BTUESPVEI-01"]
BTUESPVMW-01;poweredOn;2;16384;10.75.1.151;VLAN-10.75.1.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.75.1.151","BTUESPVMW-01"]
BTUESPVMW-02;poweredOn;2;8192;10.75.1.155;VLAN-10.75.1.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.155","BTUESPVMW-02"]
BTUGIT-1;poweredOn;1;4096;10.75.2.113;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.75.2.113","BTUGIT-1"]
BTUGRUPU-1;poweredOn;1;4096;10.75.2.61;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.75.2.61","BTUGRUPU-1"]
BTUGRUPU-2;poweredOn;1;4096;10.75.2.62;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.75.2.62","BTUGRUPU-2"]
BTUINAPP-01;poweredOn;4;16384;10.75.2.115;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.115","BTUINAPP-01"]
BTUINDB-01;poweredOn;4;16384;10.75.2.116;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.116","BTUINDB-01"]
BTUKFS-3;poweredOn;2;6144;10.6.6.61;VLAN-10.6.6.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.6.61","BTUKFS-3"]
BTUKMORC-01;poweredOn;2;65536;10.75.1.81;VLAN-10.75.1.0;CL_DB;DMZ-DB;rz2-esx-46.bev.int;Oracle Linux 9 (64-bit);Oracle Linux 4/5 (64-bit);["10.75.1.81","BTUKMORC-01"]
BTUMMAPP-01;poweredOn;2;4096;10.75.2.71;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.71","BTUMMAPP-01"]
BTUMOODLE-01;poweredOn;2;8192;10.75.2.110;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Other 4.x or later Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.110","BTUMOODLE-01"]
BTUNEX-1;poweredOn;2;8192;10.75.1.19;VLAN-10.75.1.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.19","BTUNEX-1"]
BTUQUEUE-1;poweredOn;2;8192;10.75.2.91;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.91","BTUQUEUE-1"]
BTUQUEUE-2;poweredOn;2;8192;10.75.2.92;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.92","BTUQUEUE-2"]
BTUQUEUE-3;poweredOn;2;8192;10.75.2.93;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.93","BTUQUEUE-3"]
BTUQUEUE-4;poweredOn;2;8192;10.75.2.94;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.94","BTUQUEUE-4"]
BTUSENTRY-1;poweredOn;2;8192;10.75.10.11;VLAN-10.75.10.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.75.10.11","BTUSENTRY-1"]
BTUVDE-1;poweredOn;2;4096;10.75.2.121;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.121","BTUVDE-1"]
BTUVDE-10;poweredOn;4;16384;10.75.2.130;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz1-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.130","BTUVDE-10"]
BTUVDE-2;poweredOn;4;16384;10.75.2.122;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.122","BTUVDE-2"]
BTUVDE-3;poweredOn;2;4096;10.75.2.123;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.123","BTUVDE-3"]
BTUVDE-4;poweredOn;4;4096;10.75.2.124;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz1-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.124","BTUVDE-4"]
BTUVDE-5;poweredOn;4;4096;10.75.2.125;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.125","BTUVDE-5"]
BTUVDE-6;poweredOn;4;4096;10.75.2.126;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz1-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.126","BTUVDE-6"]
BTUVDE-7;poweredOn;4;4096;10.75.2.127;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.127","BTUVDE-7"]
BTUVDE-8;poweredOn;2;4096;10.75.2.128;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.128","BTUVDE-8"]
BTUVDE-9;poweredOn;4;16384;10.75.2.129;VLAN-10.75.2.x;CL_DMZ-TU;DMZ;rz1-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.129","BTUVDE-9"]
BTUVEKDB-01;poweredOn;2;4096;10.75.2.65;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.75.2.65","BTUVEKDB-01"]
BTUVEKDB-02;poweredOn;2;4096;10.75.2.66;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.75.2.66","BTUVEKDB-02"]
BTUWORKBENCHREPORT-01;poweredOn;2;8192;10.75.2.38;VLAN-10.75.2.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.38","BTUWORKBENCHREPORT-01"]
BTUZDA-03;poweredOn;2;8192;10.75.2.143;VLAN-10.75.2.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.2.143","BTUZDA-03"]
BTUZWT-02;poweredOn;2;4096;10.6.6.52;VLAN-10.6.6.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.6.52","BTUZWT-02"]
BTUZWT-03;poweredOn;2;4096;10.6.6.53;VLAN-10.6.6.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.6.53","BTUZWT-03"]
BUILD-01;poweredOn;2;8192;10.2.3.18;VLAN-10.2.3.x;CL_PU;PU;rz2-esx-32.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.2.3.18","BUILD-01"]
CAI-01;poweredOn;2;4096;10.2.1.185;VLAN-10.2.1.x;CL_PU;PU;rz2-esx-50.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.1.185","CAI-01"]
CAI-02;poweredOn;2;8192;10.2.1.186;VLAN-10.2.1.x;CL_PU;PU;rz2-esx-31.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.1.186","CAI-02"]
CitrixMAS;poweredOn;4;32768;10.1.253.250;SecMgmt_113;;Z-SEC;10.5.253.46;FreeBSD 11 (64-bit);FreeBSD Pre-11 versions (64-bit);["10.1.253.250","CitrixMAS"]
commmedpoc-01;poweredOn;2;16384;10.2.5.72;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-34.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.5.72","commmedpoc-01"]
commservpoc-01;poweredOn;4;24576;10.2.5.71;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-50.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.5.71","commservpoc-01"]
cpepmgr03;poweredOn;4;16384;10.2.1.53;VLAN-10.2.1.x;CL_PU;PU;rz1-esx-50.bev.int;Other 4.x or later Linux (64-bit);Red Hat Enterprise Linux 7 (64-bit);["10.2.1.53","cpepmgr03"]
CPPM11;poweredOn;8;16384;10.2.1.211;VLAN-10.2.1.x;CL_PU;PU;rz1-esx-34.bev.int;Other 4.x or later Linux (64-bit);Red Hat Enterprise Linux 8 (64-bit);["10.2.1.211","CPPM11"]
CPPM12;poweredOn;8;16384;10.2.1.212;VLAN-10.2.1.x;CL_PU;PU;rz1-esx-32.bev.int;Other 4.x or later Linux (64-bit);Red Hat Enterprise Linux 8 (64-bit);["10.2.1.212","CPPM12"]
ctxnsxm-04;poweredOn;6;24576;10.2.9.151;VLAN-10.2.9.x;CL_PU;PU;rz1-esx-50.bev.int;Ubuntu Linux (64-bit);Ubuntu Linux (64-bit);["10.2.9.151","ctxnsxm-04"]
ctxnsxm-05;poweredOn;6;24576;10.2.9.152;VLAN-10.2.9.x;CL_PU;PU;rz2-esx-31.bev.int;Ubuntu Linux (64-bit);Ubuntu Linux (64-bit);["10.2.9.152","ctxnsxm-05"]
ctxnsxm-06;poweredOn;6;24576;10.2.9.153;VLAN-10.2.9.x;CL_PU;PU;rz2-esx-34.bev.int;Ubuntu Linux (64-bit);Ubuntu Linux (64-bit);["10.2.9.153","ctxnsxm-06"]
DB2GIS-01;poweredOn;2;4096;10.2.6.55;VLAN-10.2.6.x;CL_PU;PU;rz2-esx-34.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.6.55","DB2GIS-01"]
DBDE-01;poweredOn;4;8192;10.2.6.16;VLAN-10.2.6.x;CL_PU;PU;rz1-esx-32.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.6.16","DBDE-01"]
DC-1;poweredOn;2;4096;10.1.6.41;VLAN-10.1.6.x;CL_WEB;WEB;rz1-esx-59.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.6.41","DC-1"]
DC-2;poweredOn;2;4096;10.1.6.32;VLAN-10.1.6.x;CL_WEB;WEB;rz1-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.6.32","DC-2"]
DC-3;poweredOn;2;4096;10.1.6.33;VLAN-10.1.6.x;CL_WEB;WEB;rz1-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.6.33","DC-3"]
DHCP-01;poweredOn;2;8192;10.2.2.2;VLAN-10.2.2.x;CL_PU;PU;rz2-esx-31.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.2.2","DHCP-01"]
DHCP-02;poweredOn;2;8192;10.2.2.102;VLAN-10.2.2.x;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.2.102","DHCP-02"]
dnsntp01;poweredOn;2;2048;;Mail_102;;Z-SEC;10.5.253.45;;CentOS 4/5/6 (64-bit);["dnsntp01"]
dnsntp02;poweredOn;2;2048;;Mail_102;;Z-SEC;10.5.253.46;;CentOS 4/5 (64-bit);["dnsntp02"]
DPU-SCAN-01;poweredOn;2;6144;10.2.6.33;VLAN-10.2.6.x;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.2.6.33","DPU-SCAN-01"]
EGADATA-01;poweredOn;2;6144;10.1.33.73;VLAN-10.1.33.0;CL_DB;DMZ-DB;rz1-esx-47.bev.int;Oracle Linux 7 (64-bit);Oracle Linux 4/5/6 (64-bit);["10.1.33.73","EGADATA-01"]
EGAELK-02;poweredOn;4;16384;10.1.25.12;VLAN-10.1.25.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.25.12","EGAELK-02"]
EGAGISTASK-01;poweredOn;2;16384;10.1.33.90;VLAN-10.1.33.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.33.90","EGAGISTASK-01"]
EGAPDL-01;poweredOn;4;16384;10.1.7.41;VLAN-10.1.7.x;CL_WEB;WEB;rz2-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.1.7.41","EGAPDL-01"]
EGAPDL-02;poweredOn;4;16384;10.1.7.42;VLAN-10.1.7.x;CL_WEB;WEB;rz1-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.1.7.42","EGAPDL-02"]
EGASAP-01;poweredOn;4;32768;10.1.33.55;VLAN-10.1.33.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.1.33.55","EGASAP-01"]
EGASDB-01;poweredOn;2;16384;10.1.33.72;VLAN-10.1.33.0;CL_DB;DMZ-DB;rz2-esx-47.bev.int;Oracle Linux 7 (64-bit);Oracle Linux 4/5/6 (64-bit);["10.1.33.72","EGASDB-01"]
EGASIGPX-01;poweredOn;2;8192;10.1.32.76;VLAN-10.1.32.x;CL_WEB;WEB;rz2-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.1.32.76","EGASIGPX-01"]
EMCLOUD-01;poweredOn;2;10240;10.2.8.105;VLAN-10.2.8.x;CL_PU;PU;rz1-esx-32.bev.int;Oracle Linux 8 (64-bit);Oracle Linux 4/5 (64-bit);["10.2.8.105","EMCLOUD-01"]
espadm-01;poweredOn;2;16384;10.2.5.51;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-50.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.2.5.51","espadm-01"]
ESPADM-02;poweredOn;2;24576;10.2.5.57;VLAN-10.2.5.x;CL_PU;PU;rz2-esx-31.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.5.57","ESPADM-02"]
ESPANA-01;poweredOn;2;16384;10.2.5.55;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.5.55","ESPANA-01"]
ESPPRO-01;poweredOn;4;40960;10.2.5.53;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-32.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.5.53","ESPPRO-01"]
ESPVEI-01;poweredOn;2;20480;10.2.5.54;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-52.bev.int;CentOS 8 (64-bit);CentOS 4/5 (64-bit);["10.2.5.54","ESPVEI-01"]
ESPVMW-01;poweredOn;4;40960;10.2.5.52;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-50.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.5.52","ESPVMW-01"]
ETU-EGAELK-02;poweredOn;2;8192;10.6.7.34;VLAN-10.6.7.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.7.34","ETU-EGAELK-02"]
ETU-HVV-01;poweredOn;16;32768;10.6.7.39;VLAN-10.6.7.x;CL_DMZ-TU;DMZ;rz1-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.7.39","ETU-HVV-01"]
ETU-HVV-02;poweredOn;16;32768;10.6.7.38;VLAN-10.6.7.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.7.38","ETU-HVV-02"]
ETU-HVV-03;poweredOn;8;32768;10.6.7.43;VLAN-10.6.7.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.7.43","ETU-HVV-03"]
ETU-HVV-GATEWAY-01;poweredOn;2;8192;10.75.1.121;VLAN-10.75.1.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.121","ETU-HVV-GATEWAY-01"]
ETU-MON-01;poweredOn;2;8192;10.75.1.189;VLAN-10.75.1.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.189","ETU-MON-01"]
ETU-USER-ADMIN-01;poweredOn;8;16384;10.6.7.44;VLAN-10.6.7.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.6.7.44","ETU-USER-ADMIN-01"]
ETUEGAPDL-01;poweredOn;4;16384;10.1.8.41;VLAN-10.1.8.x;CL_WEB;WEB;rz1-esx-59.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.1.8.41","ETUEGAPDL-01"]
ETUEGAPDL-02;poweredOn;4;16384;10.1.8.42;VLAN-10.1.8.x;CL_WEB;WEB;rz1-esx-59.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.1.8.42","ETUEGAPDL-02"]
ETUMAPPROXY-01;poweredOn;2;8192;10.6.7.33;VLAN-10.6.7.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Microsoft Windows Server 2008 (64-bit);Microsoft Windows Server 2008 (64-bit);["10.6.7.33","ETUMAPPROXY-01"]
ETUMAPPROXY-02;poweredOn;2;8192;10.6.7.133;VLAN-10.6.7.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Microsoft Windows Server 2008 (64-bit);Microsoft Windows Server 2008 (64-bit);["10.6.7.133","ETUMAPPROXY-02"]
fil-fslogix;poweredOn;2;8192;10.2.6.201;VLAN-10.2.6.x;CL_PU;PU;rz2-esx-32.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.2.6.201","fil-fslogix"]
fpgw01;poweredOn;6;16384;169.254.254.130;VLAN-10.2.1.x;CL_PU;PU;rz1-esx-34.bev.int;CentOS 7 (64-bit);CentOS 4/5/6/7 (64-bit);["169.254.254.130","fpgw01"]
fpgw02;poweredOn;6;16384;169.254.254.130;VLAN-10.2.1.x;CL_PU;PU;rz2-esx-31.bev.int;CentOS 7 (64-bit);CentOS 4/5/6/7 (64-bit);["169.254.254.130","fpgw02"]
fweventia01;poweredOn;8;32768;10.1.253.17;SecMgmt_113;;Z-SEC;10.5.253.45;Other 4.x or later Linux (64-bit);Red Hat Enterprise Linux 7 (64-bit);["10.1.253.17","fweventia01"]
fwmgmt01;poweredOn;8;16384;10.1.253.18;SecMgmt_113;;Z-SEC;10.5.253.45;Other 4.x or later Linux (64-bit);Red Hat Enterprise Linux 7 (64-bit);["10.1.253.18","fwmgmt01"]
G-WIKI;poweredOn;1;4096;10.2.6.50;VLAN-10.2.6.x;CL_PU;PU;rz2-esx-34.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.6.50","G-WIKI"]
